Country / Territory,HDI,Gini_Index,Rule_Of_Law_Index,CO2_Emissions,Infant_Mortality_Rate,Sites,Banking_Population,Inflation,Apple_Pay,GDP_per_Capita_Growth,Bandwidth
United States,0.938,41.1,0.690535,13.8,6.5,25,Very high,Medium,Yes,Medium,Very High
China,0.797,35.7,0.312384,9.24,6.2,57,Very high,Low,Yes,High,Very High
Germany,0.959,31.7,0.861664,7.77,3.7,52,Very high,High,Yes,Very low,Very High
Japan,0.925,32.9,0.729939,7.54,2.4,25,Very high,Medium,Yes,Low,Very High
India,0.685,35.7,0.570713,2.07,27.7,42,Very high,High,No,High,Very High
United Kingdom,0.946,35.1,0.81097,5.01,4.5,33,Very high,High,Yes,Very low,Very High
France,0.922,32.4,0.723848,4.36,4.3,52,Very high,Medium,Yes,Low,Very High
Italy,0.915,35.2,0.712031,5.18,2.8,59,Very high,High,Yes,Low,Very High
Russia,0.832,36,0.320345,14.4,4.5,31,Very high,High,No,Medium,Very High
Canada,0.939,33.3,0.823906,14.35,5.1,22,Very high,Medium,Yes,Very low,Very High
Brazil,0.786,52,0.507783,2.16,14.4,23,High,Medium,Yes,Medium,Very High
Spain,0.918,34.9,0.718317,4.92,3.1,50,Very high,Medium,Yes,Low,Very High
Mexico,0.789,43.5,0.442536,3.53,12.5,35,High,High,Yes,Medium,Very High
South Korea,0.937,31.4,0.706538,11.62,2.8,16,Very high,Medium,Yes,Low,Very High
Australia,0.958,34.3,0.817145,14.6,3.7,20,Very high,High,Yes,Low,Very High
Turkey,0.853,44.4,0.284867,4.17,12.8,21,High,Very high,No,Medium,Very High
Indonesia,0.728,37.9,0.660784,2.3,20.6,10,Moderate,Medium,No,Medium,Very High
Netherlands,0.955,29.2,0.849675,7.63,4,13,Very high,Medium,Yes,Very low,Very High
Saudi Arabia,0.938,45.9,0.601152,18.14,6.2,7,High,Medium,Yes,Very low,Very High
Poland,0.906,28.5,0.532463,7.63,4.4,17,High,High,Yes,Low,Very High
Switzerland,0.974,33.1,0.888,3.58,3.9,13,Very high,Medium,Yes,Very low,Very High
Taiwan,0.926,33.6,0.843,10.15,8.6,0,Very high,Not found,Yes,Not found,Very High
Belgium,0.951,27.2,0.820948,7.78,3.6,16,Very high,Medium,Yes,Low,Very High
Ireland,0.949,31.4,0.834674,7.48,3.8,2,Very high,High,Yes,Very low,Very High
Argentina,0.865,42,0.562959,4.07,9.6,12,High,Very high,Yes,Very low,Very High
Sweden,0.959,30,0.860634,3.41,2.5,15,Very high,High,Yes,Very low,Very High
Israel,0.919,39,0.822,5.49,3.4,9,Very high,Medium,Yes,Very low,Very High
Singapore,0.946,45.9,0.670972,7.96,2.1,1,Very high,Medium,Yes,Very low,Very High
United Arab Emirates,0.941,26,0.573479,21.31,5,1,Very high,Low,Yes,Very low,Very High
